Row,min_med_conn_run,sec_med_conn_run,min_med_conn,sec_med_conn
sub00001,1,2,0.45,0.462
sub00002,4,3,0.413,0.437
sub00003,1,2,0.42,0.455
sub00005,2,1,0.414,0.434
sub00007,1,3,0.4,0.408
sub00010,3,NaN,0.515,NaN
sub00019,1,3,0.46,0.525
sub00020,2,1,0.398,0.402
sub00021,4,2,0.432,0.435
sub00023,4,NaN,0.433,NaN
sub00024,1,4,0.423,0.426
sub00026,2,1,0.417,0.423
sub00029,1,3,0.453,0.488
sub00033,3,4,0.411,0.461
sub00037,1,2,0.423,0.426
sub00038,1,NaN,0.468,NaN
sub00040,NaN,NaN,NaN,NaN
sub00042,NaN,NaN,NaN,NaN
sub00043,1,2,0.409,0.411
sub00044,1,2,0.413,0.426
sub00047,3,1,0.412,0.447
sub00049,1,2,0.401,0.415
sub00050,1,NaN,0.514,NaN
sub00052,1,4,0.434,0.446
sub00053,1,2,0.431,0.462
sub00054,4,2,0.465,0.513
sub00055,3,2,0.441,0.453
sub00057,1,2,0.447,0.473
sub00062,1,NaN,0.45,NaN
sub00063,4,1,0.4,0.437
sub00064,4,1,0.455,0.463
sub00068,1,2,0.411,0.43
sub00069,1,3,0.425,0.434
sub00071,1,2,0.424,0.443
sub00072,2,NaN,0.515,NaN
sub00074,1,2,0.413,0.428
sub00075,NaN,NaN,NaN,NaN
sub00079,1,3,0.441,0.456
sub00081,1,2,0.446,0.489
sub00083,1,2,0.444,0.449
sub00084,2,NaN,0.421,NaN
sub00085,1,2,0.455,0.462
sub00087,2,4,0.423,0.43
sub00088,2,3,0.427,0.466
sub00089,1,NaN,0.415,NaN
sub00090,1,NaN,0.546,NaN
sub00093,3,2,0.505,0.52
sub00096,NaN,NaN,NaN,NaN
sub00101,1,2,0.421,0.427
sub00102,1,NaN,0.488,NaN
sub00103,4,1,0.434,0.5
sub00106,3,2,0.415,0.427
sub00108,1,NaN,0.476,NaN
sub00109,2,1,0.408,0.41
sub00112,4,NaN,0.471,NaN
sub00113,3,2,0.428,0.443
sub00114,4,3,0.415,0.425
sub00115,1,NaN,0.419,NaN
sub00116,3,2,0.409,0.423
sub00117,1,2,0.444,0.456
sub00119,2,NaN,0.423,NaN
sub00121,2,NaN,0.43,NaN
sub00122,2,1,0.424,0.436
sub00124,1,NaN,0.437,NaN
sub00125,1,NaN,0.493,NaN
sub00126,3,2,0.401,0.411
sub00127,2,1,0.414,0.438
sub00128,2,1,0.405,0.48
sub00139,1,NaN,0.427,NaN
sub00145,3,4,0.43,0.44
sub00146,1,3,0.467,0.523
sub00148,3,1,0.418,0.444
sub00149,2,3,0.466,0.505
sub00152,1,NaN,0.534,NaN
sub00153,2,1,0.449,0.459
sub00155,3,1,0.447,0.451
sub00156,1,2,0.431,0.432
sub00157,4,NaN,0.482,NaN
sub00158,4,1,0.432,0.522
sub00159,4,2,0.402,0.408
sub00163,1,NaN,0.417,NaN
sub00165,1,NaN,0.484,NaN
sub00166,1,NaN,0.431,NaN
sub00167,2,1,0.429,0.439
sub00168,2,NaN,0.468,NaN
sub00169,2,1,0.415,0.431
sub00171,2,NaN,0.433,NaN
sub00172,1,2,0.412,0.426
sub00174,1,3,0.433,0.434
sub00175,1,2,0.404,0.405
sub00176,1,NaN,0.424,NaN
sub00180,3,1,0.398,0.444
sub00181,1,3,0.421,0.431
sub00182,2,4,0.428,0.446
sub00185,1,2,0.409,0.434
sub00186,1,2,0.415,0.437
sub00192,2,1,0.419,0.425
sub00193,4,NaN,0.448,NaN
sub00195,3,NaN,0.512,NaN
sub00197,NaN,NaN,NaN,NaN
sub00198,1,NaN,0.411,NaN
sub00200,4,1,0.406,0.418
sub00202,2,NaN,0.47,NaN
sub00204,NaN,NaN,NaN,NaN
sub00205,1,NaN,0.399,NaN
sub00206,3,1,0.405,0.407
sub00208,2,1,0.448,0.463
sub00210,NaN,NaN,NaN,NaN
sub00212,4,2,0.419,0.433
sub00213,1,NaN,0.473,NaN
sub00217,1,2,0.42,0.45
sub00219,4,3,0.396,0.398
sub00220,2,1,0.415,0.434
sub00221,1,2,0.418,0.424
sub00222,2,1,0.418,0.431
sub00224,1,NaN,0.423,NaN
sub00229,3,2,0.437,0.444
sub00231,1,2,0.426,0.475
sub00232,2,1,0.416,0.422
sub00233,4,1,0.409,0.432
sub00238,2,NaN,0.501,NaN
sub00241,1,2,0.445,0.531
sub00242,2,3,0.43,0.435
sub00244,2,3,0.426,0.429
sub00251,2,3,0.405,0.446
sub00252,3,1,0.411,0.412
sub00253,4,2,0.402,0.418
sub00254,1,2,0.43,0.498
sub00258,3,4,0.445,0.482
sub00259,2,1,0.412,0.413
sub00264,1,3,0.428,0.48
sub00272,1,2,0.408,0.415
sub00273,2,1,0.409,0.433
sub00274,4,3,0.397,0.411
sub00279,NaN,NaN,NaN,NaN
sub00280,4,3,0.444,0.467
sub00283,1,NaN,0.473,NaN
sub00284,4,1,0.449,0.458
sub00287,NaN,NaN,NaN,NaN
sub00289,2,1,0.41,0.411
sub00291,2,NaN,0.467,NaN
sub00293,2,4,0.467,0.477
sub00296,3,NaN,0.44,NaN
sub00299,2,1,0.409,0.423
sub00300,1,3,0.479,0.5
sub00302,2,1,0.411,0.434
sub00304,3,1,0.434,0.447
sub00307,1,2,0.422,0.438
sub00309,1,NaN,0.505,NaN
sub00311,2,1,0.432,0.435
sub00314,1,3,0.419,0.432
sub00315,1,2,0.439,0.452
sub00321,2,NaN,0.43,NaN
sub00322,4,1,0.396,0.41
sub00323,1,2,0.42,0.431
sub00327,2,NaN,0.445,NaN
sub00332,4,1,0.431,0.481
sub00333,1,2,0.44,0.442
sub00334,1,NaN,0.537,NaN
sub00336,1,2,0.476,0.504
sub00337,1,3,0.468,0.477
sub00339,4,1,0.412,0.416
sub00341,4,NaN,0.519,NaN
sub00342,4,3,0.407,0.412
sub00343,3,4,0.421,0.464
sub00344,3,1,0.419,0.423
sub00345,1,3,0.41,0.422
sub00347,2,3,0.417,0.433
sub00348,NaN,NaN,NaN,NaN
sub00349,4,3,0.438,0.451
sub00350,1,NaN,0.456,NaN
sub00353,2,NaN,0.531,NaN
sub00355,1,NaN,0.485,NaN
sub00356,1,2,0.437,0.463
sub00358,2,NaN,0.523,NaN
sub00359,2,NaN,0.462,NaN
sub00360,NaN,NaN,NaN,NaN
sub00362,2,4,0.467,0.49
sub00364,2,NaN,0.426,NaN
sub00366,2,NaN,0.478,NaN
sub00367,3,2,0.433,0.436
sub00376,4,1,0.458,0.462
sub00377,3,1,0.421,0.451
sub00378,4,1,0.418,0.425
sub00380,3,NaN,0.478,NaN
sub00381,1,NaN,0.438,NaN
sub00382,2,1,0.49,0.532
sub00384,2,3,0.45,0.517
sub00385,3,1,0.429,0.449
sub00387,3,2,0.436,0.446
sub00392,1,2,0.413,0.455
sub00393,4,3,0.427,0.438
sub00394,4,3,0.469,0.513
sub00395,4,NaN,0.455,NaN
sub00398,2,1,0.405,0.409
sub00399,2,1,0.395,0.4
sub00401,2,1,0.414,0.423
sub00402,NaN,NaN,NaN,NaN
sub00403,1,2,0.416,0.433
sub00404,4,1,0.407,0.459
sub00405,3,1,0.402,0.417
sub00407,1,3,0.412,0.426
sub00417,1,2,0.418,0.425
sub00419,1,NaN,0.481,NaN
sub00422,NaN,NaN,NaN,NaN
sub00423,2,NaN,0.512,NaN
sub00426,2,1,0.412,0.436
sub00427,2,NaN,0.449,NaN
sub00430,1,NaN,0.44,NaN
sub00432,3,4,0.411,0.425
sub00434,1,NaN,0.423,NaN
sub00435,2,1,0.41,0.411
sub00438,2,1,0.414,0.442
sub00440,2,3,0.417,0.417
sub00441,3,4,0.4,0.4
sub00443,1,4,0.398,0.407
sub00445,1,4,0.432,0.528
sub00447,2,1,0.394,0.416
sub00448,1,NaN,0.44,NaN
sub00449,1,NaN,0.499,NaN
sub00450,2,1,0.425,0.454
sub00452,1,3,0.52,0.52
sub00454,3,4,0.463,0.467
sub00458,3,4,0.435,0.443
sub00461,2,3,0.405,0.429
sub00465,1,NaN,0.526,NaN
sub00467,1,3,0.457,0.523
sub00468,1,2,0.404,0.431
sub00469,1,NaN,0.474,NaN
sub00471,3,1,0.432,0.45
sub00473,1,2,0.425,0.454
sub00474,1,3,0.42,0.43
sub00477,1,2,0.42,0.428
sub00478,2,1,0.417,0.427
sub00480,2,1,0.411,0.414
sub00483,1,4,0.419,0.422
sub00486,2,1,0.409,0.428
sub00488,1,2,0.402,0.457
sub00491,1,4,0.413,0.416
sub00496,2,1,0.418,0.427
sub00498,1,2,0.426,0.432
sub00501,1,2,0.417,0.437
sub00502,1,2,0.431,0.453
sub00506,1,NaN,0.49,NaN
sub00508,1,NaN,0.398,NaN
sub00510,2,1,0.427,0.428
sub00511,3,1,0.408,0.417
sub00512,3,2,0.433,0.434
sub00518,1,2,0.405,0.411
sub00519,1,2,0.425,0.436
sub00520,1,NaN,0.469,NaN
sub00522,2,NaN,0.443,NaN
sub00523,1,2,0.419,0.423
sub00524,2,4,0.438,0.464
sub00526,1,4,0.446,0.456
sub00528,3,1,0.463,0.488
